wavelenght,counts
200.0146484375,181.57469177246094
200.31639099121094,121.95745849609375
200.6181182861328,233.91644287109375
200.9198455810547,70.38330841064453
201.22157287597656,189.57810974121094
201.52330017089844,108.92669677734375
201.82501220703125,152.8310089111328
202.126708984375,131.0804901123047
202.42840576171875,202.8549346923828
202.7301025390625,112.93011474609375
203.0317840576172,169.70455932617188
203.33346557617188,137.55076599121094
203.63514709472656,258.94720458984375
203.9368133544922,166.7523956298828
204.2384796142578,223.8173370361328
204.54013061523438,132.41064453125
204.84178161621094,274.2671203613281
205.1434326171875,122.6259536743164
205.445068359375,218.91302490234375
205.7467041015625,127.85150909423828
206.04833984375,239.8583526611328
206.34996032714844,134.7660675048828
206.6515655517578,196.7831573486328
206.95318603515625,166.91644287109375
207.25479125976562,271.91644287109375
207.55638122558594,165.63619995117188
207.85797119140625,206.455078125
208.15956115722656,199.8378448486328
208.4611358642578,200.68746948242188
208.76271057128906,137.53025817871094
209.0642852783203,261.2616271972656
209.3658447265625,115.11808013916016
209.6674041748047,278.2377014160156
209.9689483642578,137.70797729492188
210.27049255371094,248.64645385742188
210.57203674316406,189.7455596923828
210.87356567382812,268.83441162109375
211.17507934570312,140.61911010742188
211.4766082763672,298.91644287109375
211.7781219482422,172.0052947998047
212.07962036132812,276.81732177734375
212.38113403320312,172.1044158935547
212.6826171875,247.8207550048828
212.98411560058594,154.87200927734375
213.2855987548828,325.84808349609375
213.58706665039062,192.0428924560547
213.8885498046875,299.33544921875
214.19000244140625,203.8105010986328
214.49147033691406,298.7489929199219
214.7929229736328,286.7900085449219
215.09437561035156,307.5166015625
215.39581298828125,229.8480987548828
215.69725036621094,313.82757568359375
215.99867248535156,240.69772338867188
216.3000946044922,298.88568115234375
216.6015167236328,259.90960693359375
216.90292358398438,288.7865905761719
217.20433044433594,219.0599822998047
217.50572204589844,291.84466552734375
217.80711364746094,266.48583984375
218.10850524902344,313.6772155761719
218.40988159179688,265.6977233886719
218.7112579345703,334.87542724609375
219.0126190185547,231.72164916992188
219.31399536132812,322.6703796386719
219.61534118652344,268.45849609375
219.91668701171875,312.94036865234375
220.21803283691406,198.7421417236328
220.51937866210938,355.7148132324219
220.82070922851562,280.7489929199219
221.1220245361328,379.6703796386719
221.42335510253906,231.70114135742188
221.72467041015625,394.5951843261719
222.02597045898438,261.7558288574219
222.3272705078125,369.4892578125
222.62857055664062,233.65328979492188
222.9298553466797,334.01556396484375
223.23114013671875,300.7455749511719
223.53240966796875,350.7319030761719
223.83367919921875,282.6327819824219
224.13494873046875,358.6054382324219
224.4362030029297,200.89593505859375
224.73745727539062,297.6635437011719
225.03871154785156,300.83099365234375
225.33995056152344,354.7045593261719
225.64117431640625,280.5986022949219
225.94241333007812,389.97796630859375
226.24362182617188,300.7250671386719
226.5448455810547,341.82073974609375
226.84605407714844,326.96087646484375
227.1472625732422,373.509765625
227.44845581054688,250.66354370117188
227.74964904785156,403.6532897949219
228.0508270263672,258.6908874511719
228.3520050048828,380.82415771484375
228.65318298339844,324.88568115234375
228.954345703125,440.84808349609375
229.25550842285156,369.7489929199219
229.55665588378906,474.8002624511719
229.85780334472656,339.7148132324219
230.15895080566406,605.7831420898438
230.4600830078125,373.5610046386719
230.76121520996094,472.91302490234375
231.0623321533203,412.48583984375
231.3634490966797,433.6806335449219
231.66456604003906,420.6293640136719
231.96566772460938,528.8959350585938
232.2667694091797,327.6054382324219
232.56785583496094,375.6806335449219
232.8689422607422,428.54736328125
233.17002868652344,471.7148132324219
233.47109985351562,470.02239990234375
233.77215576171875,503.84466552734375
234.07322692871094,401.92327880859375
